iter	RMSE
0	3.188744217
1	3.131801615
2	3.079528971
3	3.024753329
4	2.974507447
5	2.925786449
6	2.885455516
7	2.84681866
8	2.808673838
9	2.770600473
10	2.739054595
11	2.707467643
12	2.680033628
13	2.652638202
14	2.631226129
15	2.606640578
16	2.587189519
17	2.568791626
18	2.549543512
19	2.531479826
20	2.514786636
21	2.49364287
22	2.477082229
23	2.463613543
24	2.450120281
25	2.437712865
26	2.423913009
27	2.411002457
28	2.399883696
29	2.388275502
30	2.377809081
31	2.365813046
32	2.354734836
33	2.34742917
34	2.337753212
35	2.329628053
36	2.3224033
37	2.316645395
38	2.307737525
39	2.301072431
40	2.291120748
41	2.284372615
42	2.277294738
43	2.273685108
44	2.267491767
45	2.262634301
46	2.2556507
47	2.249714551
48	2.243900851
49	2.238223557
50	2.233169279
51	2.22814084
52	2.22290288
53	2.218855517
54	2.215137907
55	2.209997935
56	2.2064076
57	2.201048251
58	2.197011632
59	2.192938415
60	2.189533431
61	2.187109179
62	2.184254337
63	2.180515286
64	2.176242772
65	2.17157489
66	2.168656386
67	2.165993929
68	2.163270577
69	2.160833358
70	2.157353863
71	2.154157311
72	2.152160062
73	2.149629684
74	2.146110306
75	2.143840086
76	2.140651641
77	2.138203649
78	2.136784947
79	2.134322262
80	2.132415661
81	2.129241322
82	2.126564059
83	2.125431267
84	2.123725494
85	2.122468349
86	2.119115703
87	2.116746488
88	2.113750707
89	2.111508725
90	2.109631355
91	2.107901255
92	2.105554582
93	2.103658456
94	2.101192212
95	2.098916738
96	2.09749609
97	2.095817347
98	2.094295453
99	2.091899974
100	2.091242303
101	2.090158447
102	2.087926232
103	2.086097247
104	2.084106843
105	2.081204882
106	2.078884997
107	2.077330775
108	2.076368895
109	2.074709135
110	2.072149397
111	2.070033517
112	2.068012579
113	2.065555918
114	2.063546659
115	2.062080508
116	2.060669331
117	2.059274315
118	2.058024201
119	2.055233752
120	2.054020716
121	2.052876957
122	2.051524303
123	2.049107864
124	2.048017183
125	2.046340489
126	2.043920849
127	2.041999532
128	2.040369292
129	2.039125276
130	2.037162274
131	2.036136268
132	2.034668765
133	2.033850274
134	2.033246342
135	2.031762243
136	2.030257032
137	2.029096626
138	2.026890106
139	2.024115985
140	2.022670216
141	2.021395548
142	2.020121908
143	2.01852896
144	2.017547592
145	2.016518112
146	2.014191846
147	2.012506244
148	2.011891048
149	2.010608616
150	2.008488183
151	2.006759853
152	2.005480223
153	2.00372872
154	2.002575936
155	2.000969478
156	2.000247826
157	1.999088025
