iter	Passed	Remaining
0	134	134761
1	137	68792
2	140	46816
3	143	35766
4	146	29210
5	149	24716
6	151	21561
7	154	19138
8	156	17231
9	158	15722
10	161	14482
11	163	13434
12	164	12509
13	166	11757
14	168	11092
15	170	10502
16	172	9979
17	174	9519
18	176	9093
19	177	8712
20	179	8351
21	180	8026
22	181	7725
23	183	7469
24	184	7212
25	186	6973
26	187	6757
27	188	6551
28	190	6383
29	192	6221
30	193	6051
31	194	5893
32	196	5745
33	197	5612
34	198	5482
35	200	5360
36	201	5244
37	202	5132
38	204	5030
39	205	4933
40	206	4834
41	207	4739
42	208	4649
43	210	4564
44	211	4481
45	212	4405
46	213	4332
47	214	4262
48	216	4194
49	217	4128
50	218	4066
51	220	4011
52	221	3954
53	222	3900
54	224	3848
55	225	3798
56	226	3747
57	227	3698
58	228	3650
59	230	3603
60	231	3558
61	232	3515
62	233	3473
63	234	3435
64	236	3396
65	237	3357
66	238	3321
67	239	3283
68	240	3245
69	241	3210
70	242	3177
71	244	3145
72	245	3114
73	246	3082
74	247	3051
75	248	3023
76	249	2995
77	250	2966
78	252	2941
79	253	2915
80	254	2889
81	255	2863
82	257	2840
83	258	2816
84	259	2793
85	260	2769
86	261	2745
87	262	2722
88	263	2700
89	264	2678
90	266	2657
91	267	2638
92	268	2618
93	269	2598
94	270	2578
95	271	2559
96	272	2539
97	274	2522
98	275	2504
99	276	2487
100	277	2471
101	278	2452
102	279	2435
103	280	2417
104	281	2403
105	283	2387
106	284	2372
107	285	2358
108	286	2344
109	287	2329
110	289	2315
111	290	2303
112	291	2289
113	292	2276
114	294	2262
115	295	2248
116	296	2234
117	297	2223
118	298	2210
119	299	2198
120	301	2186
121	302	2175
122	303	2163
123	304	2152
124	306	2142
125	307	2130
126	308	2120
127	309	2109
128	310	2098
129	311	2087
130	313	2077
131	314	2066
132	315	2057
133	316	2047
134	317	2036
135	318	2026
136	320	2019
137	321	2010
138	322	2000
139	324	1990
140	325	1980
141	326	1970
142	327	1960
143	328	1951
144	329	1942
145	330	1933
146	331	1923
147	332	1914
148	333	1905
149	334	1896
150	336	1889
151	337	1882
152	338	1874
153	339	1865
154	340	1856
155	341	1847
156	342	1839
157	343	1831
158	344	1824
159	345	1816
160	347	1808
161	348	1800
162	349	1793
163	350	1787
164	352	1781
165	353	1775
166	354	1768
167	355	1762
168	357	1756
169	358	1750
170	359	1743
171	360	1736
172	361	1729
173	362	1722
174	363	1715
175	365	1708
176	366	1702
177	367	1696
178	368	1689
179	369	1683
180	370	1677
181	371	1670
182	372	1664
183	373	1657
184	374	1651
185	375	1645
186	376	1638
187	378	1632
188	379	1626
189	380	1620
190	381	1614
191	382	1608
192	383	1602
193	384	1596
194	385	1590
195	386	1585
196	387	1579
197	388	1573
198	389	1567
199	390	1562
200	392	1559
201	393	1554
202	394	1549
203	395	1543
204	396	1538
205	398	1534
206	399	1529
207	400	1524
208	401	1519
209	402	1514
210	403	1509
211	404	1504
212	406	1500
213	407	1496
214	408	1491
215	409	1486
216	410	1482
217	411	1477
218	412	1472
219	414	1468
220	415	1464
221	416	1459
222	417	1455
223	418	1450
224	419	1446
225	421	1442
226	422	1438
227	423	1434
228	424	1430
229	426	1426
230	427	1422
231	428	1418
232	429	1414
233	430	1410
234	432	1406
235	433	1402
236	434	1398
237	435	1394
238	436	1390
239	437	1386
240	438	1382
241	439	1377
242	441	1373
243	441	1369
244	443	1365
245	444	1361
246	445	1357
247	446	1353
248	447	1350
249	448	1346
250	449	1342
251	450	1338
252	452	1335
253	453	1331
254	454	1327
255	455	1323
256	456	1319
257	457	1315
258	458	1311
259	459	1308
260	461	1305
261	462	1302
262	463	1298
263	464	1295
264	465	1292
265	467	1289
266	468	1285
267	469	1282
268	470	1279
269	471	1276
270	473	1272
271	474	1270
272	476	1267
273	477	1264
274	478	1261
275	479	1257
276	480	1254
277	481	1250
278	482	1247
279	483	1243
280	484	1240
281	485	1236
282	486	1233
283	487	1230
284	488	1226
285	489	1223
286	491	1219
287	491	1216
288	493	1212
289	494	1209
290	495	1206
291	496	1202
292	497	1199
293	498	1196
294	499	1193
295	500	1190
296	501	1186
297	502	1183
298	503	1180
299	504	1177
300	505	1174
301	506	1171
302	508	1168
303	509	1165
304	510	1162
305	511	1159
306	512	1156
307	513	1153
308	514	1150
309	515	1147
310	516	1144
311	517	1141
312	518	1138
313	520	1136
314	521	1133
315	522	1130
316	523	1128
317	524	1125
318	525	1122
319	526	1119
320	527	1116
321	528	1113
322	530	1110
323	531	1108
324	532	1105
325	533	1102
326	534	1100
327	535	1098
328	537	1095
329	538	1092
330	539	1090
331	540	1087
332	541	1084
333	542	1082
334	543	1079
335	544	1076
336	546	1074
337	547	1071
338	548	1068
339	549	1066
340	550	1063
341	551	1060
342	552	1057
343	553	1055
344	554	1052
345	555	1050
346	556	1047
347	557	1044
348	558	1042
349	559	1039
350	560	1037
351	561	1034
352	563	1031
353	564	1029
354	565	1026
355	566	1024
356	567	1021
357	568	1018
358	569	1016
359	570	1013
360	571	1011
361	572	1008
362	573	1006
363	574	1003
364	575	1000
365	576	998
366	577	996
367	578	994
368	579	991
369	580	989
370	581	986
371	582	984
372	584	981
373	585	979
374	586	977
375	587	974
376	588	972
377	589	969
378	590	967
379	591	964
380	592	962
381	593	960
382	594	957
383	595	955
384	596	953
385	597	950
386	598	948
387	599	946
388	600	943
389	602	941
390	603	939
391	604	936
392	605	934
393	606	932
394	607	930
395	608	927
396	609	925
397	610	923
398	611	920
399	612	918
400	613	916
401	614	914
402	615	911
403	616	909
404	617	907
405	618	905
406	619	902
407	620	900
408	621	898
409	622	896
410	624	894
411	625	892
412	626	889
413	627	887
414	628	885
415	629	883
416	630	880
417	631	879
418	632	876
419	633	874
420	634	872
421	635	870
422	636	868
423	637	866
424	638	864
425	639	862
426	641	860
427	642	858
428	643	855
429	644	853
430	645	851
431	646	849
432	647	847
433	648	845
434	649	843
435	650	841
436	652	840
437	653	838
438	654	836
439	655	834
440	656	832
441	657	830
442	658	828
443	659	826
444	660	824
445	661	822
446	662	820
447	664	818
448	665	816
449	666	814
450	667	812
451	668	810
452	669	808
453	671	807
454	672	805
455	673	803
456	674	801
