iter	Passed	Remaining
0	145	145465
1	148	73974
2	150	49991
3	152	37941
4	154	30725
5	156	25960
6	158	22519
7	160	19928
8	163	17961
9	165	16362
10	167	15048
11	169	13964
12	171	13028
13	174	12257
14	176	11575
15	178	10978
16	213	12355
17	215	11738
18	216	11172
19	217	10667
20	218	10204
21	219	9779
22	221	9388
23	222	9030
24	223	8702
25	224	8400
26	225	8119
27	226	7860
28	227	7621
29	228	7395
30	229	7186
31	231	6991
32	232	6808
33	233	6635
34	234	6473
35	236	6319
36	237	6172
37	238	6031
38	239	5902
39	240	5777
40	241	5656
41	242	5540
42	244	5433
43	245	5329
44	246	5229
45	247	5132
46	248	5042
47	249	4951
48	250	4864
49	251	4782
50	252	4707
51	254	4632
52	255	4560
53	256	4489
54	257	4421
55	258	4356
56	259	4293
57	260	4235
58	262	4180
59	263	4123
60	264	4066
61	265	4013
62	266	3963
63	267	3912
64	268	3864
65	269	3816
66	270	3770
67	271	3725
68	272	3682
69	274	3644
70	275	3604
71	276	3565
72	277	3527
73	278	3489
74	280	3454
75	281	3419
76	282	3385
77	283	3350
78	284	3314
79	285	3281
80	286	3249
81	287	3217
82	288	3186
83	289	3157
84	290	3128
85	291	3099
86	292	3071
87	293	3043
88	294	3017
89	295	2990
90	296	2964
91	297	2939
92	299	2916
93	300	2893
94	301	2870
95	302	2848
96	303	2827
97	304	2805
98	305	2783
99	306	2762
100	307	2740
101	309	2720
102	310	2700
103	310	2679
104	312	2659
105	313	2640
106	314	2622
107	315	2604
108	316	2586
109	317	2568
110	318	2551
111	319	2534
112	320	2518
113	321	2502
114	323	2485
115	324	2469
116	324	2452
117	326	2436
118	326	2420
119	328	2405
120	329	2390
121	330	2375
122	331	2360
123	332	2347
124	333	2334
125	334	2320
126	335	2306
127	336	2293
128	337	2281
129	339	2268
130	340	2256
131	341	2243
132	342	2230
133	343	2217
134	344	2206
135	345	2196
136	347	2186
137	348	2174
138	349	2162
139	350	2151
140	351	2140
141	352	2130
142	353	2118
143	354	2108
144	355	2098
145	356	2087
146	357	2077
147	358	2066
148	360	2057
149	361	2047
150	362	2039
151	363	2030
152	364	2020
153	366	2010
154	367	2001
155	368	1992
156	369	1983
157	370	1974
158	371	1965
159	372	1957
160	373	1948
161	375	1940
162	376	1933
163	377	1924
164	378	1916
165	379	1907
166	380	1898
167	381	1889
168	382	1881
169	383	1873
170	384	1865
171	385	1857
172	386	1849
173	387	1841
174	389	1834
175	389	1825
176	391	1818
177	392	1810
178	393	1803
179	394	1796
180	395	1789
181	396	1781
182	397	1774
183	398	1766
184	399	1760
185	400	1753
186	401	1746
187	402	1738
188	403	1733
189	405	1727
190	406	1719
191	407	1712
192	407	1705
193	409	1699
194	410	1692
195	411	1686
196	411	1679
197	412	1672
198	414	1667
199	415	1661
200	416	1654
201	417	1648
202	418	1643
203	419	1638
204	421	1633
205	422	1628
206	423	1623
207	424	1617
208	425	1612
209	427	1606
210	428	1601
211	429	1595
212	430	1590
213	431	1584
214	432	1580
215	433	1575
216	435	1569
217	436	1564
218	436	1558
219	438	1553
220	439	1548
221	440	1542
222	441	1537
223	442	1532
224	443	1526
225	444	1521
226	445	1516
227	446	1511
228	447	1506
229	448	1501
230	449	1497
231	450	1492
232	451	1487
233	452	1481
234	453	1477
235	454	1472
236	455	1468
237	456	1463
238	457	1458
239	458	1453
240	459	1448
241	461	1444
242	462	1440
243	463	1435
244	464	1430
245	465	1426
246	466	1421
247	467	1416
248	468	1412
249	469	1407
250	470	1403
251	471	1399
252	472	1395
253	473	1390
254	474	1386
255	475	1383
256	476	1378
257	477	1374
258	478	1370
259	479	1366
260	480	1361
261	482	1357
262	483	1353
263	484	1349
264	485	1345
265	486	1341
266	487	1337
267	488	1333
268	489	1329
269	490	1326
270	491	1322
271	492	1318
272	493	1315
273	494	1311
274	495	1307
275	496	1303
276	497	1299
277	498	1295
278	500	1292
279	501	1288
280	502	1285
281	503	1281
282	504	1277
283	505	1273
284	506	1270
285	507	1266
286	508	1263
287	509	1260
288	510	1256
289	511	1253
290	512	1249
291	513	1245
292	514	1242
293	516	1239
294	517	1235
295	518	1232
296	519	1228
297	520	1225
298	521	1221
299	522	1218
300	523	1215
301	524	1211
302	525	1208
303	526	1204
304	527	1201
305	528	1198
306	529	1194
307	530	1191
308	531	1188
309	532	1185
310	533	1182
311	534	1179
312	536	1176
313	537	1173
314	538	1170
315	539	1167
316	540	1164
317	541	1160
318	542	1157
319	543	1154
320	544	1151
321	545	1148
322	546	1145
323	547	1142
324	548	1139
325	550	1137
326	551	1135
327	552	1132
328	554	1130
329	555	1127
330	556	1124
331	557	1122
332	558	1119
333	560	1116
334	561	1113
335	562	1111
336	563	1108
337	564	1105
338	565	1103
339	567	1100
340	568	1097
341	569	1095
342	570	1092
343	571	1089
344	572	1087
345	573	1084
346	574	1081
347	575	1078
348	577	1076
349	578	1073
350	579	1071
351	580	1069
352	582	1066
353	583	1064
354	584	1061
355	585	1059
356	586	1057
357	588	1054
358	589	1052
359	590	1050
360	591	1047
361	593	1045
362	596	1046
363	597	1044
364	598	1041
365	600	1039
366	601	1036
367	602	1034
368	603	1031
369	604	1029
370	605	1026
371	606	1024
372	608	1022
373	609	1020
374	610	1017
375	611	1015
376	613	1013
377	614	1010
378	615	1008
379	616	1005
380	617	1003
381	618	1001
382	619	998
383	621	996
384	622	994
385	623	991
386	624	989
387	625	986
388	626	984
389	628	982
390	629	980
391	630	977
392	631	975
393	633	973
394	634	971
395	635	968
396	636	966
397	637	964
398	638	962
399	639	959
400	641	957
401	642	955
402	643	952
403	644	950
404	645	948
405	646	945
406	647	943
407	648	941
408	649	939
409	650	936
410	651	934
411	653	932
412	654	929
413	655	927
414	656	925
415	657	923
416	658	920
417	659	918
418	660	916
419	661	914
420	663	911
421	664	909
422	665	907
423	666	905
424	667	903
425	668	901
426	669	898
427	671	896
428	672	894
429	673	892
430	674	890
431	675	888
432	676	885
433	677	883
434	678	881
435	680	879
436	681	877
437	682	875
438	683	873
439	684	871
440	685	869
441	687	867
442	688	865
443	689	863
444	690	861
445	691	859
446	692	857
447	694	855
448	695	853
449	696	851
450	697	849
451	699	847
452	700	845
453	701	843
454	702	841
455	703	839
456	704	837
457	706	835
458	707	833
459	708	831
460	709	829
461	710	827
462	711	825
463	712	823
464	714	821
465	715	819
466	716	817
467	717	815
468	718	813
469	720	812
470	721	810
471	722	808
472	723	806
473	724	804
474	726	802
475	727	801
476	729	799
477	730	797
478	731	795
479	732	793
480	733	791
481	734	789
482	736	787
483	737	785
484	738	784
485	739	782
486	740	780
487	741	778
488	743	776
489	744	774
490	745	773
491	746	771
492	747	769
493	749	767
494	750	765
495	751	763
496	752	761
497	753	759
498	754	757
499	755	755
500	757	754
501	758	752
502	759	750
503	760	748
504	761	746
505	763	744
506	764	743
507	765	741
508	766	739
509	767	737
510	768	735
511	769	733
512	771	732
513	772	730
514	773	728
515	774	726
516	775	724
517	776	722
518	777	720
519	779	719
520	780	717
521	781	715
522	783	714
523	784	712
524	785	711
525	786	709
526	788	707
527	789	705
528	790	703
529	791	701
530	792	700
531	793	698
532	794	696
533	796	694
534	797	693
535	798	691
536	800	689
537	801	688
538	802	686
539	803	684
540	805	683
541	806	681
542	807	679
543	808	677
544	809	676
545	810	674
546	812	672
547	813	670
548	814	669
549	816	667
550	817	665
551	818	663
552	819	662
553	820	660
554	821	658
555	822	657
556	823	655
557	825	653
558	826	651
559	827	650
560	828	648
561	829	646
562	830	644
563	832	643
564	833	641
565	834	639
566	835	638
567	836	636
568	838	634
569	839	633
570	840	631
571	841	629
572	843	628
573	844	626
574	845	624
575	846	623
576	847	621
577	848	619
578	850	618
579	851	616
580	852	615
581	853	613
582	855	611
583	856	609
584	857	608
585	858	606
586	859	604
587	860	602
588	861	601
589	862	599
590	864	597
591	865	596
592	866	594
593	867	592
594	868	591
595	869	589
596	870	587
597	871	586
598	873	584
599	874	582
600	875	581
601	876	579
602	878	578
603	879	576
604	880	574
605	881	573
606	882	571
607	883	569
608	884	568
609	886	566
610	887	564
611	888	563
612	889	561
613	890	559
614	891	558
615	892	556
616	894	554
617	895	553
618	896	551
619	897	549
620	898	548
621	899	546
622	900	545
623	901	543
624	902	541
625	904	540
626	905	538
627	906	536
628	907	535
629	908	533
630	909	531
631	910	530
632	911	528
633	913	527
634	914	525
635	916	524
636	917	522
637	918	521
638	920	519
639	921	518
640	922	516
641	923	515
642	925	513
643	926	512
644	927	510
645	929	509
646	930	507
647	932	506
648	933	504
649	934	503
650	935	501
651	937	500
652	938	498
653	939	497
654	940	495
655	942	494
656	943	492
657	944	491
658	946	489
659	947	488
660	948	486
661	949	484
662	951	483
663	952	481
664	953	480
665	954	478
666	956	477
667	957	475
668	958	474
669	959	472
670	960	471
671	962	469
672	963	468
673	964	466
674	965	464
675	967	463
676	968	461
677	969	460
678	970	458
679	972	457
680	973	456
681	975	454
682	976	453
683	977	451
684	978	450
685	979	448
686	980	446
